Trace,LRU IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
compute_fp_1.txt,0.277300,44.124970,43.637910,713.700000,47.537940,46.756920,683.400000,148.039020,144.555170,212.300000,0.034630,0.034630,138.200000,3074686,1470528
compute_fp_10.txt,0.366400,27.465480,6.898350,1086.000000,27.722560,6.898380,1097.000000,94.759220,55.117090,313.500000,0.001040,0.001040,316.300000,2149719,1789646
compute_fp_11.txt,1.729000,6.183020,3.099690,235.300000,6.183020,3.099690,256.300000,134.285370,43.507360,4.156000,0.002730,0.002730,190.600000,327821,285197
compute_fp_12.txt,2.540000,2.127210,2.126050,178.100000,2.134440,2.132130,198.500000,3.973840,3.956090,102.200000,0.004470,0.004470,108.200000,73225,44793
compute_fp_13.txt,2.801000,1.863750,1.862590,198.900000,1.867210,1.865670,219.500000,4.261620,4.244900,95.430000,0.004440,0.004440,94.130000,73311,36476
compute_fp_2.txt,3.392000,0.247840,0.235760,117.600000,5.384910,4.155350,25.470000,81.088260,57.886580,1.138000,0.077260,0.077260,47.490000,11206,924
compute_fp_3.txt,2.582000,31.507500,31.499290,78.470000,31.507580,31.499330,99.470000,76.648130,76.633800,42.950000,0.000000,0.000000,,108471,376
compute_fp_4.txt,1.610000,0.000190,0.000170,149.200000,0.001800,0.001650,35.860000,10.028160,7.813750,4.925000,3.831010,3.831010,5.962000,16,0
compute_fp_5.txt,0.615600,31.012990,25.060780,433.300000,31.916260,25.949960,442.000000,149.992920,111.864710,86.100000,0.000540,0.000540,160.000000,1746003,493535
compute_fp_6.txt,1.024000,11.535640,11.094170,211.300000,12.397760,11.884000,217.600000,122.521920,121.307190,15.680000,0.054790,0.054790,159.100000,398715,54844
compute_fp_7.txt,0.289200,34.869780,27.010880,505.900000,50.106050,38.647780,372.800000,146.790730,105.080980,124.400000,0.060120,0.060120,197.300000,2562446,1252120
compute_fp_8.txt,0.368300,27.394660,6.895980,1089.000000,27.840200,6.895980,1093.000000,94.449540,54.833390,314.000000,0.002800,0.002800,264.800000,2128492,1776031
compute_fp_9.txt,3.877000,0.002190,0.002170,157.600000,0.004670,0.003730,94.360000,47.966650,47.872240,0.294800,0.001840,0.001840,9.125000,204,0
compute_int_0.txt,3.747000,0.000160,0.000080,213.400000,2.721850,0.099600,20.010000,19.468720,0.612440,1.396000,0.002400,0.002400,17.710000,14,0
compute_int_1.txt,0.557600,6.792980,6.557060,171.200000,7.348150,7.005700,179.100000,15.992190,15.348130,86.170000,0.011220,0.011220,145.100000,530026,12218
compute_int_10.txt,2.419000,0.630770,0.355110,330.200000,2.159210,1.229430,116.800000,12.508000,10.707430,20.540000,0.293510,0.293510,38.940000,41063,33742
compute_int_11.txt,1.833000,1.346250,1.307740,125.700000,2.320710,1.808990,93.560000,21.592120,15.347110,10.190000,0.288500,0.288500,13.000000,10096,1823
compute_int_12.txt,1.147000,1.538630,1.286080,169.100000,2.329320,1.968830,132.300000,11.758070,9.743670,29.270000,8.686250,8.686250,10.740000,123408,19353
compute_int_13.txt,1.715000,1.901650,0.952340,720.600000,46.360190,17.072200,43.520000,106.724660,77.333030,24.100000,0.000000,0.000000,,136086,90673
compute_int_14.txt,0.842000,15.406220,14.801970,751.200000,20.621590,19.681780,581.900000,25.604190,24.087840,467.600000,0.136130,0.136130,62.570000,560945,11429
compute_int_15.txt,3.168000,0.028300,0.026160,128.100000,0.432950,0.418310,28.440000,1.196730,1.163750,12.900000,0.015520,0.015520,47.240000,1163,0
compute_int_16.txt,1.962000,2.240290,1.765930,286.100000,7.608800,6.971870,104.500000,35.551220,29.933580,23.220000,0.015710,0.015710,142.800000,178786,148999
compute_int_17.txt,3.392000,0.008470,0.008310,107.800000,0.122150,0.121570,27.540000,4.724780,4.388380,4.861000,0.002680,0.002680,4.892000,349,0
compute_int_18.txt,1.286000,0.046270,0.024190,163.700000,1.656930,1.267400,24.640000,11.197700,9.267430,7.685000,8.334980,8.334980,8.379000,1825,746
compute_int_19.txt,1.701000,2.435210,1.432950,234.500000,3.687990,2.423140,175.500000,38.750510,24.637710,12.150000,0.003110,0.003110,97.650000,208356,178519
compute_int_2.txt,0.117100,69.613250,60.869310,356.300000,82.330440,72.808260,322.100000,143.198200,130.520330,193.500000,0.001330,0.001330,151.200000,6700349,1589675
compute_int_21.txt,0.744000,9.639940,6.116950,348.400000,10.556810,6.945890,339.100000,29.949220,23.497400,110.800000,0.029350,0.029350,231.800000,816647,746584
compute_int_22.txt,1.429000,0.646300,0.463790,175.200000,1.989770,1.450130,77.240000,8.560380,7.497410,19.320000,0.000000,0.000000,,51813,36666
compute_int_23.txt,0.332000,21.310750,19.972960,227.000000,21.487240,20.041270,246.100000,35.217010,33.358580,154.800000,0.000000,0.000000,,1759980,973046
compute_int_24.txt,2.263000,1.914320,0.187800,416.400000,3.449150,1.616220,251.700000,143.504250,136.586820,8.024000,1.433950,1.433950,11.830000,87697,156793
compute_int_25.txt,3.327000,0.321100,0.042700,207.800000,0.981830,0.196180,88.350000,103.837290,99.513600,1.981000,0.404190,0.404190,9.127000,14075,24189
compute_int_26.txt,0.794600,0.211860,0.142370,159.600000,1.158480,0.878340,49.320000,21.058060,19.201500,9.351000,23.646740,23.646740,8.212000,18242,2440
compute_int_27.txt,0.636500,27.098450,25.663450,273.100000,27.517430,26.054370,289.900000,42.637820,40.508200,184.600000,0.003120,0.003120,263.000000,1182138,667940
compute_int_28.txt,1.063000,0.003540,0.002140,122.900000,26.558020,26.502710,20.020000,52.229410,51.920680,15.830000,0.006360,0.006360,18.590000,67,0
compute_int_29.txt,2.417000,0.277450,0.247410,143.200000,1.002730,0.905420,59.850000,1.943270,1.697790,31.160000,1.698530,1.698530,12.870000,19929,1523
compute_int_3.txt,1.499000,1.030090,0.776920,165.400000,2.270940,1.914850,95.460000,9.525250,5.581810,26.820000,0.189400,0.189400,43.000000,81521,21935
compute_int_31.txt,0.758900,8.473570,6.264220,281.100000,16.304090,13.596430,166.700000,44.632330,37.511630,63.900000,0.054620,0.054620,175.600000,672104,299160
compute_int_32.txt,0.646100,9.852220,8.503480,312.900000,10.362410,8.967720,318.500000,36.710720,32.513620,91.620000,22.732950,22.732950,8.737000,804868,227469
compute_int_33.txt,2.327000,0.006420,0.001900,163.700000,0.033020,0.014560,52.010000,0.554150,0.273770,6.723000,5.547890,5.547890,5.467000,266,0
compute_int_34.txt,0.355000,58.868660,53.450040,367.900000,59.029700,53.577590,387.900000,80.658590,64.077940,285.600000,0.004810,0.004810,153.000000,2570594,575752
compute_int_35.txt,2.950000,0.018340,0.015950,160.000000,0.226150,0.203260,32.930000,3.001240,2.372600,4.916000,3.308930,3.308930,5.760000,1184,0
compute_int_36.txt,1.980000,0.008110,0.007200,107.500000,0.257410,0.170920,23.420000,1.279360,0.682800,7.988000,1.135470,1.135470,6.898000,338,0
compute_int_37.txt,0.198900,108.829500,88.863340,471.600000,120.004310,95.060030,448.600000,156.384370,126.274860,350.200000,0.011660,0.011660,137.000000,4490889,2021738
compute_int_38.txt,0.484900,13.962720,9.044750,207.800000,17.847210,11.757640,183.300000,39.210420,26.936580,88.190000,0.386830,0.386830,30.490000,1289974,451784
compute_int_39.txt,0.602400,18.090530,0.466150,923.600000,18.120890,0.485220,943.000000,19.766900,1.702640,874.400000,3.875790,3.875790,11.220000,1332805,1200352
compute_int_4.txt,3.462000,0.005260,0.005210,90.240000,0.041480,0.041290,31.570000,4.443110,4.097500,4.358000,0.001750,0.001750,8.886000,126,0
compute_int_40.txt,1.596000,0.259350,0.141280,152.000000,0.938430,0.522190,62.240000,3.222410,2.144000,22.780000,6.022980,6.022980,5.750000,22594,7987
compute_int_41.txt,1.401000,0.001250,0.001220,155.900000,0.007780,0.007650,45.210000,5.160720,4.085290,4.274000,0.018660,0.018660,8.368000,111,0
compute_int_42.txt,1.966000,0.000660,0.000660,74.800000,0.000660,0.000660,95.800000,0.724810,0.674390,6.763000,8.965030,8.965030,7.024000,8,0
compute_int_43.txt,1.391000,0.000820,0.000790,154.800000,0.008240,0.008060,35.510000,5.237880,3.988370,4.238000,0.021690,0.021690,8.727000,74,0
compute_int_44.txt,1.285000,1.759270,1.378700,208.300000,2.997160,2.361590,142.800000,10.386360,7.693160,44.080000,0.061390,0.061390,178.900000,163154,92879
compute_int_45.txt,0.140100,166.645760,83.318460,647.100000,166.645800,83.318460,668.100000,430.686440,101.160810,252.600000,0.000000,0.000000,,7114462,5575758
compute_int_46.txt,0.953500,4.522150,2.641410,197.500000,5.585330,3.410930,180.700000,11.234740,7.945580,95.990000,0.055550,0.055550,95.810000,415702,141756
compute_int_5.txt,1.532000,2.366680,0.658210,731.300000,6.834090,3.139680,273.700000,25.214740,13.614670,72.720000,0.002420,0.002420,91.700000,214284,189202
compute_int_6.txt,1.287000,0.014780,0.011630,171.900000,1.992950,1.106720,21.340000,15.469890,7.333590,6.296000,5.397720,5.397720,7.612000,1223,520
compute_int_7.txt,0.613300,44.108990,44.063610,276.800000,44.164280,44.112150,297.400000,49.751170,49.603410,273.100000,0.000000,0.000000,,848471,131776
compute_int_8.txt,2.212000,2.980900,0.044020,1737.000000,3.009800,0.070950,1741.000000,139.629040,2.470480,29.640000,0.000000,0.000000,,125020,187840
compute_int_9.txt,1.268000,0.103890,0.057400,178.300000,1.768750,1.255150,30.570000,10.928840,5.178880,8.744000,4.631530,4.631530,7.778000,7353,5547
srv_0.txt,0.711100,1.937850,1.279190,157.500000,21.917240,18.767000,33.990000,21.941200,14.958810,27.080000,33.670860,33.670860,15.930000,161247,87357
srv_1.txt,0.817600,1.655960,1.099830,183.900000,15.259130,12.958440,40.050000,61.938900,56.325960,15.960000,22.321210,22.321210,16.830000,133564,59807
srv_10.txt,0.736900,1.714540,1.131910,156.100000,21.465460,18.163420,32.530000,22.558840,15.147260,25.200000,33.051040,33.051040,15.400000,141357,84387
srv_11.txt,0.844900,1.512430,1.012710,187.600000,14.669610,12.446350,39.430000,66.540970,60.888980,15.280000,22.451780,22.451780,16.080000,120194,59208
srv_12.txt,0.635600,0.146290,0.079410,188.200000,8.723890,7.390100,22.970000,32.704350,17.450720,8.894000,62.099150,62.099150,9.508000,9241,5220
srv_13.txt,0.642300,0.265740,0.128490,249.500000,8.859630,7.376110,27.310000,31.378410,16.445250,10.470000,60.277550,60.277550,9.477000,15957,11999
srv_14.txt,0.629800,0.025340,0.019460,170.200000,6.857250,6.175380,20.580000,41.281440,24.427490,7.929000,71.633670,71.633670,8.849000,1576,84
srv_15.txt,0.622300,0.025460,0.021370,175.100000,10.785180,9.650140,20.160000,42.147440,24.956830,8.529000,72.940460,72.940460,9.494000,1614,89
srv_16.txt,0.622500,0.014390,0.014270,193.000000,4.836060,4.186460,20.290000,36.173460,19.550930,6.914000,77.316870,77.316870,8.419000,789,0
srv_17.txt,0.623200,0.015650,0.015460,196.000000,5.000120,4.465150,20.250000,36.007580,19.476250,6.807000,76.890680,76.890680,8.517000,888,0
srv_18.txt,0.608400,0.467270,0.334210,165.400000,9.675040,8.503910,27.940000,43.879710,26.466480,10.100000,70.921360,70.921360,9.286000,30664,4589
srv_19.txt,0.599700,0.478660,0.356740,163.500000,9.096620,8.034500,28.450000,39.922670,22.766650,9.668000,72.305280,72.305280,9.245000,32760,3306
srv_2.txt,0.810500,2.070930,1.476250,163.000000,17.263960,14.761700,39.650000,21.142580,14.983620,27.050000,34.813580,34.813580,13.760000,156515,93971
srv_20.txt,0.591400,0.159780,0.084620,221.500000,8.676540,7.121160,23.900000,32.924260,16.853470,8.883000,65.919190,65.919190,9.509000,9194,6108
srv_21.txt,0.590700,0.147640,0.077250,171.400000,8.619420,7.222870,22.790000,32.785770,16.831960,8.645000,65.841890,65.841890,9.493000,8350,4121
srv_22.txt,0.642100,0.145570,0.079140,181.800000,8.279120,6.988190,22.980000,31.552470,16.661000,8.899000,60.740030,60.740030,9.422000,8984,5330
srv_23.txt,0.638800,0.022620,0.018300,167.900000,6.088390,5.286570,20.340000,42.463240,25.228990,7.900000,72.455300,72.455300,8.601000,1337,37
srv_24.txt,0.614000,0.014690,0.014640,194.900000,5.833660,4.946120,19.830000,36.170560,19.652890,7.002000,77.374350,77.374350,8.635000,832,0
srv_25.txt,0.599600,0.441020,0.328200,161.100000,8.199350,7.286700,28.530000,39.919930,22.670040,9.438000,73.296420,73.296420,8.992000,29845,2796
srv_26.txt,0.576300,0.102670,0.058540,173.800000,12.088060,10.484740,21.190000,32.761770,16.820290,8.701000,66.464320,66.464320,10.380000,6294,3059
srv_27.txt,1.588000,1.743430,1.183400,201.300000,2.593670,1.747640,156.000000,7.782200,4.309310,52.370000,4.425740,4.425740,8.474000,134597,28697
srv_28.txt,1.560000,1.962940,1.278180,213.900000,2.819370,1.847530,169.600000,8.548620,4.541990,56.140000,4.583130,4.583130,8.640000,147894,38212
srv_29.txt,1.558000,2.046550,1.330220,218.700000,2.914870,1.909430,174.200000,8.731470,4.569150,58.400000,4.727640,4.727640,8.608000,149760,42575
srv_3.txt,0.819000,1.911560,1.378760,162.000000,17.259600,14.792020,38.030000,20.845820,14.806140,26.310000,34.577240,34.577240,13.640000,146375,90566
srv_30.txt,1.581000,1.859820,1.223850,205.900000,2.771500,1.835820,158.800000,8.237630,4.407150,54.050000,4.603050,4.603050,8.264000,139622,34803
srv_31.txt,1.585000,1.782500,1.188390,196.200000,2.673750,1.782550,151.500000,7.975010,4.334570,51.410000,4.564820,4.564820,8.349000,133837,30210
srv_32.txt,1.049000,0.113540,0.063860,186.700000,3.238910,2.542430,26.510000,12.706750,9.522630,12.710000,108.129890,108.129890,6.661000,8703,4376
srv_33.txt,0.528200,22.952190,7.718190,649.100000,31.981920,13.885730,486.600000,116.444230,35.466340,130.400000,68.062190,68.062190,7.511000,1442754,1458987
srv_34.txt,0.530600,22.817020,7.727970,641.200000,31.888000,13.863990,479.500000,116.103210,35.492550,128.600000,68.112860,68.112860,7.478000,1426109,1448741
srv_35.txt,0.530800,22.614030,7.549650,641.700000,31.813600,13.826300,476.900000,115.949900,35.503210,127.700000,67.985150,67.985150,7.635000,1419012,1443175
srv_36.txt,0.525800,22.972480,7.735280,645.900000,32.074980,13.872720,483.400000,116.778000,35.642140,129.700000,67.478670,67.478670,7.509000,1441705,1459620
srv_37.txt,0.527400,22.838920,7.698790,637.700000,32.022800,13.923980,475.500000,116.330520,35.564770,127.800000,67.552300,67.552300,7.782000,1424515,1445080
srv_38.txt,0.528100,22.996180,7.741460,650.200000,31.929580,13.896240,489.000000,116.638930,35.730640,130.600000,67.382990,67.382990,7.512000,1453197,1466060
srv_39.txt,0.528900,22.909680,7.778770,642.000000,31.850510,13.856780,482.500000,116.183820,35.563830,129.100000,68.028100,68.028100,7.513000,1434164,1448242
srv_4.txt,0.849900,1.951780,1.375650,167.400000,16.211550,13.837410,40.240000,21.299110,15.235290,26.600000,34.806360,34.806360,12.800000,148402,90733
srv_40.txt,1.040000,7.985070,3.045050,681.800000,9.299170,4.190310,606.300000,36.008420,12.870570,149.600000,9.054360,9.054360,16.620000,404230,395443
srv_41.txt,0.719800,2.152680,1.118840,238.600000,13.233020,10.327490,58.930000,20.881590,11.352060,35.430000,29.380660,29.380660,13.100000,163009,91868
srv_42.txt,0.576100,0.780800,0.409990,197.100000,18.333450,14.611340,28.400000,39.353720,19.987040,14.010000,51.738480,51.738480,11.780000,59933,29089
srv_43.txt,0.576800,0.772320,0.474680,181.200000,18.978880,14.892310,27.330000,39.385660,20.091470,13.760000,51.632710,51.632710,11.890000,58874,23768
srv_44.txt,0.488900,2.775310,1.284850,438.100000,16.936710,12.093980,91.780000,49.927630,24.937180,32.560000,75.751960,75.751960,9.862000,175982,119977
srv_45.txt,0.484200,1.934430,0.950080,349.900000,15.638510,11.200640,63.210000,50.094060,25.489510,22.180000,81.058250,81.058250,9.458000,131034,72912
srv_46.txt,0.797800,2.453600,1.277730,282.500000,11.392690,8.248720,80.970000,31.000810,12.170370,28.810000,30.560650,30.560650,12.060000,156408,97842
srv_47.txt,0.788400,2.304540,1.266880,232.000000,10.877470,7.922790,69.290000,30.458240,12.219160,24.310000,31.449230,31.449230,11.680000,148510,84560
srv_48.txt,0.729100,3.864590,1.988850,281.200000,12.436500,9.089450,107.600000,28.231430,11.252420,42.800000,26.182990,26.182990,16.040000,269212,153502
srv_49.txt,0.764800,3.117290,1.679750,202.000000,11.155870,8.312510,76.680000,26.241750,10.334880,29.320000,25.442740,25.442740,14.740000,230946,115544
srv_5.txt,0.852300,1.819550,1.301900,163.700000,16.455560,14.102910,38.180000,21.269550,15.243190,25.560000,35.077750,35.077750,12.720000,139058,88275
srv_50.txt,0.649100,2.816860,1.475330,296.900000,16.903870,13.548480,69.590000,22.779480,11.818290,47.390000,30.328930,30.328930,15.000000,193808,120844
srv_51.txt,0.698300,2.410630,1.326660,250.200000,14.593220,11.815320,61.460000,20.540370,10.867740,39.900000,28.081790,28.081790,14.730000,174230,99276
srv_52.txt,0.520600,2.279520,1.128190,330.900000,21.780390,17.199710,54.680000,35.517180,18.743980,31.680000,51.104310,51.104310,12.860000,169347,103905
srv_53.txt,0.652900,1.192970,0.606670,252.600000,15.585620,12.529450,39.330000,23.957780,12.894030,23.670000,38.769720,38.769720,12.810000,94275,51764
srv_54.txt,0.913000,1.832680,0.907410,259.800000,9.570850,7.256300,69.900000,15.280970,7.554050,40.890000,19.774040,19.774040,13.630000,138005,80929
srv_55.txt,0.731800,2.272190,1.151580,226.000000,13.283430,10.122960,58.790000,20.865640,10.520910,34.830000,27.419520,27.419520,13.580000,172527,92297
srv_56.txt,1.175000,0.895200,0.600920,148.200000,3.909400,2.924270,54.080000,11.693520,6.565710,20.020000,16.807870,16.807870,9.929000,57632,12604
srv_57.txt,1.145000,1.335610,0.871790,150.100000,3.818210,2.782710,72.780000,12.094560,6.795370,24.750000,16.443830,16.443830,10.000000,89888,20902
srv_58.txt,1.612000,0.001680,0.000790,114.600000,2.494320,2.042160,20.030000,7.129240,3.942250,8.824000,12.306450,12.306450,9.715000,84,0
srv_59.txt,1.473000,0.023910,0.021550,141.600000,3.020130,2.513820,21.080000,8.437060,4.679320,9.172000,14.334230,14.334230,9.876000,516,0
srv_6.txt,0.850600,1.886100,1.365840,162.100000,16.641630,14.080800,38.430000,21.308110,15.119800,25.610000,33.951340,33.951340,13.320000,144480,89800
srv_60.txt,0.680700,2.036650,1.309930,156.000000,23.368270,19.931140,33.660000,23.308030,16.026380,27.400000,34.157210,34.157210,16.130000,169833,88709
srv_61.txt,0.706000,1.982530,1.307800,160.300000,22.153340,18.947680,34.410000,22.101950,15.020660,27.810000,33.998260,33.998260,15.780000,164034,87808
srv_62.txt,0.810000,1.948250,1.379060,159.700000,17.390740,14.876660,37.970000,21.050910,14.903870,26.180000,34.646770,34.646770,13.700000,148288,87961
srv_63.txt,0.797000,2.069650,1.445440,160.200000,17.633230,15.066230,38.900000,21.037890,14.873150,27.340000,34.681980,34.681980,13.840000,159943,87710
srv_64.txt,0.853800,1.868730,1.303630,162.500000,16.279370,13.867680,38.730000,21.302080,15.224240,25.870000,34.998930,34.998930,12.560000,143365,90373
srv_65.txt,0.859200,1.838840,1.300280,160.900000,16.100440,13.748900,38.480000,21.179090,15.152630,25.390000,34.833930,34.833930,12.630000,140759,87929
srv_66.txt,0.838000,1.984770,1.422040,162.200000,16.329690,13.861610,39.810000,21.215970,15.030500,26.050000,34.154720,34.154720,13.340000,152009,92201
srv_67.txt,0.851300,1.945480,1.400100,162.900000,15.918320,13.538910,40.010000,20.960830,14.887910,26.000000,34.069480,34.069480,13.150000,148837,89687
srv_68.txt,0.802000,2.072740,1.382560,166.600000,18.082980,15.427470,39.190000,20.840530,14.433180,28.600000,31.649620,31.649620,14.500000,162813,88720
srv_69.txt,0.698800,2.313530,1.541620,158.600000,20.864800,17.687320,37.680000,21.656610,14.695110,29.220000,33.224360,33.224360,15.970000,189831,86836
srv_7.txt,0.774600,2.134470,1.468340,170.700000,19.037190,16.001720,39.240000,22.046960,15.147860,28.360000,33.743120,33.743120,14.670000,163156,90048
srv_70.txt,0.642100,0.145570,0.079140,181.800000,8.279120,6.988190,22.980000,31.552470,16.661000,8.899000,60.740030,60.740030,9.422000,8984,5330
srv_71.txt,0.626600,0.046710,0.038250,161.400000,8.068400,7.035540,20.820000,43.041630,25.613900,8.321000,72.932270,72.932270,8.931000,3204,376
srv_72.txt,0.623400,0.014030,0.013940,193.700000,5.083350,4.284760,20.060000,36.085540,19.482700,6.892000,76.898030,76.898030,8.464000,758,0
srv_73.txt,0.597900,0.790810,0.568050,189.200000,9.460140,8.360010,35.680000,42.326110,24.908500,11.550000,71.633280,71.633280,9.245000,47794,8611
srv_74.txt,0.588200,0.059090,0.031970,164.200000,9.967520,8.281820,20.660000,32.470610,16.744900,8.381000,66.341590,66.341590,9.752000,3553,1395
srv_75.txt,0.527200,23.020120,7.675100,653.700000,32.105950,13.919530,489.400000,117.026550,35.643630,131.000000,67.578300,67.578300,7.420000,1446891,1464469
srv_76.txt,0.528300,22.862230,7.650950,642.100000,32.104880,13.955570,478.000000,116.664760,35.638210,128.400000,67.554910,67.554910,7.608000,1431683,1455029
srv_8.txt,1.081000,4.563130,2.865560,262.600000,9.713760,7.521430,143.800000,22.618740,12.566300,55.750000,16.224640,16.224640,15.550000,343970,204522
srv_9.txt,1.075000,6.679970,6.050970,185.800000,7.967370,7.223330,176.600000,84.975200,81.773670,21.090000,4.783650,4.783650,33.710000,351087,60996
